GateV	--
-13.5	2.8053364076186E-7
-13.6000003814697	2.82324918998711E-7
-13.6999998092651	2.86602102050892E-7
-13.8000001907349	2.90764035071334E-7
-13.8999996185303	2.93705738840799E-7
-14	2.96572011393437E-7
-14.1000003814697	3.03216921793137E-7
-14.1999998092651	3.03999343032046E-7
-14.3000001907349	3.1302371894526E-7
-14.3999996185303	3.18279546718259E-7
-14.5	3.26651672821754E-7
-14.6000003814697	3.28869361965189E-7
-14.6999998092651	3.33166525479101E-7
-14.8000001907349	3.39710510388613E-7
-14.8999996185303	3.45652125588458E-7
-15	3.48166310004672E-7
-15.1000003814697	3.44029899679299E-7
-15.1999998092651	3.49663650922594E-7
-15.3000001907349	3.54788255663152E-7
-15.3999996185303	3.62932155439921E-7
-15.5	3.67942817547373E-7
-15.6000003814697	3.72142011428878E-7
-15.6999998092651	3.75308218281134E-7
-15.8000001907349	3.82167115731136E-7
